# From 44.234.56.22 in us-west-2d
PING 10.1.0.123 (10.1.0.123) 56(84) bytes of data.
64 bytes from 10.1.3.153: icmp_seq=45 ttl=64 time=0.024 ms
64 bytes from 10.1.3.153: icmp_seq=46 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=47 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=48 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=49 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=50 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=51 ttl=64 time=0.024 ms
64 bytes from 10.1.3.153: icmp_seq=52 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=53 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=54 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=55 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=56 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=57 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=58 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=59 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=60 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=61 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=62 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=63 ttl=64 time=0.044 ms
64 bytes from 10.1.3.153: icmp_seq=64 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=65 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=66 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=67 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=68 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=69 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=70 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=71 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=72 ttl=64 time=0.028 ms
64 bytes from 10.1.3.153: icmp_seq=73 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=74 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=75 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=76 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=77 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=78 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=79 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=80 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=81 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=82 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=83 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=84 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=85 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=86 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=87 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=88 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=89 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=90 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=91 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=92 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=93 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=94 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=95 ttl=64 time=0.029 ms
64 bytes from 10.1.3.153: icmp_seq=96 ttl=64 time=0.025 ms
64 bytes from 10.1.3.153: icmp_seq=97 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=98 ttl=64 time=0.026 ms
64 bytes from 10.1.3.153: icmp_seq=99 ttl=64 time=0.027 ms
64 bytes from 10.1.3.153: icmp_seq=100 ttl=64 time=0.025 ms

--- 10.1.3.153 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 101383ms
rtt min/avg/max/mdev = 0.011/0.027/0.044/0.006 ms
